,Unnamed: 0,FIPS,State,Borough,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,2000,Alaska,,79.0,78.8,79.3,69.8,69.2,70.4,87.4,85.5,89.3,78.6,76.9,80.3,84.7,82.7,86.8,80.7,80.3,81.0,8292.0,351.0,343.0,359.0,685.0,656.0,714.0,204.0,183.0,225.0,401.0,354.0,447.0,215.0,186.0,244.0,300.0,291.0,308.0,482.0,65.0,60.0,71.0,131.0,114.0,149.0,54.0,37.0,75.0,56.0,35.0,84.0,43.0,30.0,62.0,45.0,38.0,51.0,444.0,6.0,5.0,6.0,11.0,9.0,13.0,6.0,4.0,8.0,5.0,3.0,8.0,3.0,2.0,5.0,4.0,3.0,5.0,12,10,14,11,9,13,8,,,708.0,118.0,95190,13,64995,9,389.0,18.0,16.0,19.0,28.0,23.0,34.0,,,,24.0,15.0,36.0,8.0,4.0,13.0,17.0,15.0,19.0,508.0,10.0,9.0,11.0,17.0,14.0,20.0,5.0,3.0,7.0,7.0,4.0,12.0,4.0,2.0,6.0,10.0,8.0,11.0,33,31,36,72939,16,15,17,16861,9,8,10,157,637,9837.0,79.0,9.0,8.0,11.0,,,,,,,,,,,77203,74509,79897,49959.0,47439.0,52479.0,73014.0,67648.0,78380.0,62191.0,53939.0,70443.0,69463.0,61914.0,77012.0,85841.0,84514.0,87168.0,42,52.0,44.0,8.0,7.0,9.0,18.0,15.0,21.0,6.0,4.0,9.0,21.0,15.0,27.0,8.0,5.0,11.0,5.0,4.0,5.0,988.0,27.0,25.0,28.0,27.0,54.0,48.0,60.0,10.0,7.0,14.0,12.0,8.0,18.0,10.0,7.0,16.0,23.0,21.0,25.0,868.0,24.0,22.0,25.0,39.0,34.0,44.0,11.0,8.0,16.0,34.0,26.0,45.0,16.0,11.0,21.0,21.0,19.0,23.0,1396,1051.0,77400.0,32.0,259,162996,64,64,65,29971,12,12,13,86,216709,85,86,731545,24.6,12.5,24190,3.3,113953,15.6,47799,6.5,10498,1.4,53212,7.3,440078,60.2,11055,2,1.0,2.0,47.9,241338.0,34.0,
1,2,2013,Alaska,Aleutians East,113.5,67.9,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,14,11,11,12,15,8.0,24.0,,,400,12,1097,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,38,40,786,27,23,31,33,12,7,16,150,667,,,,,,,,,,,,,,,,66923,57133,76713,56719.0,49495.0,63943.0,91250.0,82497.0,100003.0,,,,62500.0,33157.0,91843.0,85417.0,66101.0,104733.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,0,568,64,60,68,80,11,6,16,62,555,57,68,3337,7.6,10.5,302,9.1,674,20.2,1447,43.4,40,1.2,493,14.8,302,9.1,373,11,8.0,15.0,32.5,3141.0,100.0,
2,3,2016,Alaska,Aleutians West,86.0,77.8,94.3,,,,,,,,,,,,,,,,27.0,159.0,101.0,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,11,10,12,8,4.0,12.0,,,650,11,477,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,35,37,837,19,16,21,77,11,8,15,231,433,,,,,,,,,,,,,,,,84726,73631,95821,58542.0,45358.0,71726.0,87500.0,81223.0,93777.0,53750.0,34548.0,72952.0,89167.0,79817.0,98517.0,120577.0,89980.0,151174.0,20,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,300.0,0.0,0,335,28,26,30,53,7,2,12,77,916,72,82,5634,11.4,7.4,367,6.5,680,12.1,2260,40.1,143,2.5,787,14.0,1332,23.6,408,7,6.0,9.0,34.0,5561.0,100.0,
3,4,2020,Alaska,Anchorage,79.3,78.9,79.7,66.7,65.5,67.9,85.5,83.4,87.6,76.3,74.5,78.1,82.8,80.6,85.1,80.6,80.1,81.1,3201.0,352.0,340.0,364.0,877.0,808.0,945.0,251.0,221.0,282.0,475.0,412.0,538.0,249.0,205.0,294.0,301.0,287.0,315.0,159.0,55.0,47.0,64.0,117.0,83.0,161.0,63.0,42.0,90.0,63.0,37.0,101.0,41.0,23.0,67.0,41.0,31.0,53.0,168.0,5.0,5.0,6.0,14.0,10.0,18.0,7.0,4.0,10.0,,,,,,,4.0,3.0,5.0,11,10,12,12,11,13,8,7.0,10.0,,,34080,12,14924,5,171.0,20.0,17.0,23.0,57.0,41.0,75.0,,,,26.0,15.0,42.0,,,,19.0,15.0,23.0,172.0,8.0,7.0,10.0,23.0,17.0,31.0,5.0,2.0,8.0,7.0,4.0,13.0,,,,8.0,6.0,9.0,34,33,36,25603,14,13,15,5615,8,6,9,206,486,3577.0,81.0,8.0,6.0,11.0,,,,,,,,,,,82512,78416,86608,60685.0,56125.0,65245.0,71855.0,66870.0,76840.0,59567.0,52843.0,66291.0,71643.0,63272.0,80014.0,95838.0,93055.0,98621.0,37,41.0,32.0,9.0,8.0,10.0,21.0,15.0,29.0,9.0,6.0,13.0,27.0,19.0,36.0,10.0,6.0,15.0,5.0,4.0,7.0,337.0,22.0,20.0,25.0,23.0,49.0,38.0,62.0,10.0,6.0,16.0,12.0,6.0,20.0,12.0,6.0,20.0,22.0,19.0,26.0,342.0,23.0,21.0,26.0,37.0,27.0,49.0,13.0,8.0,19.0,41.0,29.0,55.0,20.0,13.0,29.0,22.0,19.0,25.0,585,451.0,30500.0,34.0,519,65367,61,60,63,13344,13,12,14,90,95877,89,91,288000,24.0,11.7,15359,5.3,26179,9.1,28751,10.0,8039,2.8,26992,9.4,164464,57.1,6144,2,,,49.1,12015.0,4.1,
4,5,2050,Alaska,Bethel,71.6,70.0,73.2,70.0,68.3,71.7,,,,,,,,,,92.8,62.3,123.3,266.0,557.0,488.0,626.0,,,,,,,,,,,,,,,,33.0,127.0,87.0,178.0,,,,,,,,,,,,,,,,28.0,10.0,6.0,14.0,,,,,,,,,,,,,,,,23,21,25,20,19,22,7,4.0,10.0,,,3810,21,7143,42,,,,,,,,,,,,,,,,,,,,16.0,13.0,7.0,21.0,,,,,,,,,,,,,,,,38,37,40,2464,24,21,27,554,8,6,11,179,557,334.0,61.0,15.0,11.0,18.0,,,,,,,,,,,48262,42127,54397,45390.0,41164.0,49616.0,118654.0,35185.0,202123.0,120875.0,57072.0,184678.0,,,,120000.0,96069.0,143931.0,92,11.0,57.0,15.0,9.0,24.0,,,,,,,,,,,,,,,,48.0,48.0,35.0,64.0,53.0,,,,,,,,,,,,,,,,28.0,31.0,21.0,45.0,,,,,,,,,,,,,,,,118,95.0,2600.0,82.0,0,2611,58,54,62,417,10,8,13,73,3290,71,76,18386,35.6,7.9,174,0.9,15419,83.9,183,1.0,45,0.2,503,2.7,1763,9.6,391,2,2.0,3.0,48.4,12579.0,73.9,
5,6,2060,Alaska,Bristol Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,14,13,15,18,10.0,27.0,,,110,12,176,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,33,35,99,17,15,20,23,13,9,17,359,279,,,,,,,,,,,,,,,,87950,75261,100639,55313.0,40761.0,69865.0,,,,,,,,,,99306.0,90805.0,107807.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,0,169,54,47,60,12,4,0,16,78,246,73,83,836,17.8,16.3,5,0.6,293,35.0,15,1.8,2,0.2,62,7.4,331,39.6,0,0,0.0,5.0,47.6,997.0,100.0,
6,7,2068,Alaska,Denali,79.8,75.1,84.4,,,,,,,,,,,,,,,,20.0,275.0,165.0,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,13,12,11,14,8,3.0,17.0,,,330,15,419,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,33,179,13,11,16,32,8,5,11,143,699,,,,,,,,,,,,,,,,78434,66967,89901,87917.0,31449.0,144385.0,,,,,,,,,,80469.0,62452.0,98486.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,200.0,0.0,6,500,82,71,92,24,4,0,11,90,551,77,100,2097,19.0,11.3,41,2.0,106,5.1,113,5.4,1,0.0,80,3.8,1667,79.5,8,0,0.0,2.0,44.1,1826.0,100.0,
7,8,2070,Alaska,Dillingham,71.9,68.9,74.8,,,,,,,,,,,,,,,,79.0,564.0,443.0,708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,17,20,18,16,19,8,5.0,13.0,,,800,16,1561,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,36,39,685,23,20,26,171,11,7,14,102,983,,,18.0,10.0,26.0,,,,,,,,,,,57436,49749,65123,46151.0,42847.0,49455.0,,,,73500.0,52815.0,94185.0,75156.0,33933.0,116379.0,101875.0,77668.0,126082.0,100,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13.0,600.0,40.0,0,885,62,58,66,127,10,7,14,76,1083,72,80,4916,31.4,10.0,40,0.8,3591,73.0,45,0.9,9,0.2,182,3.7,721,14.7,90,2,1.0,3.0,49.3,4847.0,100.0,
