,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
1,55000,Wisconsin,,79.5,79.4,79.5,72.8,71.9,73.7,84.9,84.0,85.8,72.5,72.2,72.9,85.0,84.2,85.8,79.9,79.8,80.0,64745,308,306,311,620,581,658,201,186,215,621,606,637,238,226,249,292,289,294,2554,50,48,52,78,58,102,51,41,60,118,109,128,42,37,48,41,39,43,2783,6,6,6,9,7,12,7,6,8,17,16,18,5,5,6,5,4,5,11,10,12,13,11,14,10,,,6331,129,515930,9,271877,5,3457,20,19,20,54,44,66,3,2,5,37,34,41,14,12,16,19,18,20,4030,10,10,10,23,18,28,4,3,6,14,13,15,7,6,8,10,10,10,33,31,35,260556,8,7,8,50708,4,3,4,124,808:1,66539,90,5,5,5,3.0,3.0,2.0,2.5,3.2,3.0,3.1,1.9,2.5,3.3,64177,63470,64884,42439,40322,44556,71786,69441,74131,31351,30512,32190,46266,45259,47273,64927,64674,65180,39,76,55,4,3,4,6,3,8,2,1,3,29,27,31,5,4,5,1,1,2,4394,15,14,15,15,22,17,28,7,5,9,7,6,8,7,6,8,16,15,17,3103,11,10,11,13,9,17,5,3,6,31,29,34,6,5,7,10,9,10,,8016,516700,,597,1580939,67,67,67,267436,12,11,12,83,1945764,82,83,5822434,21.8,17.5,372273,6.4,68628,1.2,175279,3.0,3419,0.1,413208,7.1,4709065,80.9,75433,1,1,1,50.2,1697348,29.8,
2,55001,Wisconsin,Adams,77.5,75.9,79.0,,,,,,,,,,,,,,,,388,426,375,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,14,13,16,18,12,26,17,93,2440,12,695,3,25,41,27,61,,,,,,,,,,,,,,,,29,21,14,29,,,,,,,,,,,,,,,,35,33,36,953,9,8,11,180,6,4,8,35,2889:1,104,93,,,,2.5,,,,,2.6,,,,,53156,47515,58797,,,,,,,70625,34313,106937,41406,30444,52368,46566,44177,48955,67,42,21,,,,,,,,,,,,,,,,,,,22,22,13,35,22,,,,,,,,,,,,,,,,13,13,7,22,,,,,,,,,,,,,,,,,63,1300,48,2,7548,83,83,84,1095,13,11,14,74,6745,73,76,20220,14.1,30.2,554,2.7,246,1.2,127,0.6,8,0.0,845,4.2,18267,90.3,178,1,0,1,46.8,20875,100.0,
3,55003,Wisconsin,Ashland,76.7,75.3,78.0,67.4,62.6,72.2,,,,,,,,,,77.9,76.5,79.3,224,372,319,425,786,559,1075,,,,,,,,,,320,268,371,10,73,35,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,15,15,13,16,10,7,13,6,45,1830,12,2065,13,12,26,13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,35,832,10,8,11,156,4,3,6,116,865:1,222,95,9,3,14,3.0,,,,,2.9,,,,,47202,41590,52814,30761,14137,47385,36875,20440,53310,,,,23750,10329,37171,44392,39951,48833,60,,55,,,,,,,,,,,,,,,,,,,18,24,14,39,23,,,,,,,,,,,,,,,,19,24,15,38,,,,,,,,,,,,,,,,,66,1400,47,203,4483,68,66,71,756,12,9,14,71,4644,68,73,15562,22.0,20.2,80,0.5,1813,11.7,92,0.6,6,0.0,472,3.0,12790,82.2,10,0,0,1,49.8,8864,54.9,
4,55005,Wisconsin,Barron,78.8,78.0,79.6,,,,,,,,,,,,,,,,603,327,298,355,,,,,,,,,,,,,,,,19,49,29,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,14,14,12,15,11,8,16,25,65,4260,9,1439,3,10,7,4,14,,,,,,,,,,,,,,,,45,14,10,19,,,,,,,,,,,,,,,,34,32,36,2171,9,7,10,662,7,5,8,133,754:1,608,95,6,3,10,2.9,,,2.7,3.0,2.8,,,2.8,2.9,54372,49679,59065,40536,23003,58069,62656,19725,105587,27377,2146,52608,61316,49103,73529,53486,50830,56142,45,79,44,3,2,6,,,,,,,,,,,,,,,,37,17,11,23,16,,,,,,,,,,,,,,,,29,13,9,18,,,,,,,,,,,,,,,,,22,4000,6,121,14130,75,73,76,1805,10,8,11,75,14246,73,78,45244,21.5,22.6,683,1.5,520,1.1,305,0.7,9,0.0,1175,2.6,42086,93.0,241,1,0,1,50.0,30241,65.9,
5,55007,Wisconsin,Bayfield,80.5,78.8,82.1,,,,,,,,,,,,,,,,210,298,249,347,850,610,1153,,,,,,,,,,254,205,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,13,12,15,7,5,10,,,1520,10,1568,10,,,,,,,,,,,,,,,,,,,,27,26,17,37,,,,,,,,,,,,,,,,32,31,34,815,10,8,11,173,7,5,8,13,7518:1,,,,,,3.5,,,,,3.4,,,,,58065,53409,62721,53885,47646,60124,,,,,,,21058,12813,29303,57104,54975,59233,49,,58,,,,,,,,,,,,,,,,,,,20,31,18,50,27,,,,,,,,,,,,,,,,15,20,11,33,,,,,,,,,,,,,,,,,18,1100,16,12,5872,83,82,84,607,9,8,10,81,5749,79,84,15036,17.3,28.2,88,0.6,1579,10.5,79,0.5,4,0.0,338,2.2,12661,84.2,29,0,0,1,49.2,15014,100.0,
6,55009,Wisconsin,Brown,79.9,79.6,80.3,72.0,69.7,74.3,80.6,76.9,84.3,,,,94.3,83.5,105.1,80.3,79.9,80.6,2524,280,269,292,586,477,696,318,235,420,722,565,909,203,156,261,267,256,279,133,53,44,62,,,,,,,116,66,189,49,30,77,47,37,58,155,7,6,8,,,,,,,20,12,31,6,4,10,5,4,7,12,11,13,13,11,14,10,8,13,169,77,20810,8,14517,6,106,13,11,16,60,32,103,,,,,,,,,,13,10,16,122,7,6,8,21,10,38,,,,,,,,,,7,6,8,33,31,34,13121,8,7,9,2759,4,3,5,153,655:1,3246,91,4,2,5,3.0,2.7,2.2,2.3,3.2,2.9,2.7,1.8,2.2,3.2,65494,61100,69888,35804,32103,39505,81850,67933,95767,25128,18569,31687,47239,43206,51272,65329,63779,66879,40,61,38,2,1,2,,,,,,,,,,,,,,,,212,16,14,18,16,,,,,,,,,,,,,,,,102,8,6,9,,,,,,,,,,,,,,,,,239,24900,10,542,68260,65,64,66,10219,10,9,11,85,89788,84,86,264542,23.5,15.4,7135,2.7,8888,3.4,9057,3.4,223,0.1,23906,9.0,212441,80.3,5843,2,,,50.4,35947,14.5,
7,55011,Wisconsin,Buffalo,80.8,79.3,82.3,,,,,,,,,,,,,,,,140,255,209,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,13,12,15,13,7,22,,,1050,8,897,7,,,,,,,,,,,,,,,,,,,,14,15,8,25,,,,,,,,,,,,,,,,33,32,35,639,9,7,10,167,6,4,8,15,6516:1,143,91,,,,3.1,,,,,3.0,,,,,58407,53363,63451,,,,,,,,,,70074,32270,107878,57964,55770,60158,38,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1100,9,5,4407,76,74,79,615,11,8,14,81,4650,78,83,13031,20.5,22.8,69,0.5,52,0.4,60,0.5,1,0.0,303,2.3,12426,95.4,98,1,0,1,49.0,13587,100.0,
8,55013,Wisconsin,Burnett,78.7,77.0,80.4,,,,,,,,,,,,,,,,282,395,340,451,837,496,1323,,,,,,,,,,381,324,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,14,14,13,15,12,7,20,6,45,1630,11,449,3,,,,,,,,,,,,,,,,,,,,33,31,21,43,,,,,,,,,,,,,,,,33,31,35,802,10,8,11,162,6,4,8,71,1401:1,250,85,,,,3.0,,,,,3.0,,,,,51519,47998,55040,41607,31186,52028,83250,26765,139735,,,,22273,9880,34666,53472,51118,55826,52,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1100,26,22,6005,82,77,88,721,10,9,12,76,5582,75,78,15414,17.4,29.4,123,0.8,715,4.6,73,0.5,13,0.1,308,2.0,13897,90.2,31,0,0,1,48.8,15457,100.0,
