STATE,TAX RATE,RANK,,STATE2,TAX RATE2,RANK2,,
,(¢ per pack),,,,(¢ per pack),,,
Alabama,67.5,40,,Nebraska,64,41,,
Alaska,200,13,,Nevada,180,19,,
Arizona,200,13,,New Hampshire,178,20,,
Arkansas,115,33,,New Jersey,270,9,,
California,87,37,,New Mexico,166,23,,
Colorado,84,38,,New York,435,1,,
Connecticut,390,2,,North Carolina,45,47,,
Delaware,160,24,,North Dakota,44,48,,
Florida,133.9,29,,Ohio,160,24,,
Georgia,37,49,,Oklahoma,103,35,,
Hawaii,320,5,,Oregon,132,30,,
Idaho,57,45,,Pennsylvania,260,10,,
Illinois,198,18,,Rhode Island,375,3,,
Indiana,99.5,36,,South Carolina,57,45,,
Iowa,136,28,,South Dakota,153,26,,
Kansas,129,31,,Tennessee,62,42,,
Kentucky,60,43,,Texas,141,27,,
Louisiana,108,34,,Utah,170,21,,
Maine,200,13,,Vermont,308,6,,
Maryland,200,13,,Virginia,30,50,,
Massachusetts,351,4,,Washington,302.5,8,,
Michigan,200,13,,West Virginia,120,32,,
Minnesota,304,7,,Wisconsin,252,11,,
Mississippi,68,39,,Wyoming,60,43,,
Missouri,17,51,,,,,,
Montana,170,21,,District of Columbia,250,12,,
,,,,U. S. Median,153,,,